"","SHIP_ID","ship_type","SHIPNAME","port","FLAG","position"
"1",1960,"Tanker","PALLAS GLORY","gothenborg","MT","57.65783 11.75497 57.6508 11.71328 2609.20033618006"
"2",2006,"Cargo","KONYA","Klaipeda","MT","55.72832 21.06178 55.72777 21.08245 1300.1429376251"
"3",2764,"Cargo","KAROLI","Gdańsk","MT","54.5644 18.83774 54.54369 18.80568 3101.20851364381"
"4",2764,"Cargo","KAROLI","Gdynia","MT","54.5644 18.83774 54.54369 18.80568 3101.20851364381"
"5",2929,"Cargo","POLA MUROM","St. Petersburg","MT","59.91764 30.021 59.92054 30.00686 854.383319025678"
"6",2934,"Cargo","POLA UGLICH","St. Petersburg","MT","59.91687 30.02371 59.9132 30.04201 1102.38830735807"
"7",2962,"Tug","BOA BISON","Gdynia","NO","54.52405 18.5547 54.52401 18.55471 4.49942248343508"
"8",2968,"Tanker","FURE FLADEN","gothenborg","FO","57.65628 11.74772 57.65138 11.71893 1803.38518817183"
"9",3049,"Tanker","BESIKTAS ICELAND","gothenborg","MT","57.66349 11.77922 57.67393 11.7997 1686.92244067798"
"10",3062,"Cargo","ANGORA","Klaipeda","MT","55.70655 20.80155 55.70835 20.81501 869.54842710489"
"11",3162,"Cargo","REINBEK","St. Petersburg","LR","59.90187 30.09799 59.90487 30.08347 878.631526231567"
"12",3338,"Cargo","KERLI","Gdańsk","MT","54.73725 18.97902 54.76132 18.98187 2685.72342602632"
"13",3338,"Cargo","KERLI","Gdynia","MT","54.73725 18.97902 54.76132 18.98187 2685.72342602632"
"14",3575,"Cargo","HELT","Kalingrad","PA","54.68167 20.16127 54.68575 20.22571 4180.89908039787"
"15",3615,"Cargo","FINNKRAFT","Gdańsk","FI","54.6725 18.99983 54.79053 18.89155 14875.774746786"
"16",3615,"Cargo","FINNKRAFT","Gdynia","FI","54.6725 18.99983 54.79053 18.89155 14875.774746786"
"17",3636,"Cargo","FINNHAWK","St. Petersburg","FI","59.91904 30.01286 59.91375 30.03851 1551.20250975021"
"18",5107,"Cargo","AUTO BAY","St. Petersburg","FI","59.90988 30.05801 59.91502 30.0328 1522.25210329311"
"19",5381,"Tug","AURA","Klaipeda","FI","55.85232 20.83309 55.86265 20.81833 1475.51533266628"
"20",5396,"Cargo","RAMONA","gothenborg","FI","57.65665 11.74505 57.6536 11.7282 1061.75351352739"
"21",5558,"Cargo","FINNTIDE","St. Petersburg","FI","59.89004 30.15668 59.88737 30.17005 805.489650176244"
"22",5567,"Cargo","FINNWAVE","St. Petersburg","FI","59.90972 30.06001 59.91424 30.03777 1342.32629525844"
"23",5622,"Cargo","FINNMILL","St. Petersburg","FI","59.91888 30.01486 59.92145 30.002 774.208288259928"
"24",5628,"Cargo","FINNPULP","Gdańsk","FI","54.67507 18.94194 54.66213 18.93311 1549.02059919604"
"25",5628,"Cargo","FINNPULP","Gdynia","FI","54.67507 18.94194 54.66213 18.93311 1549.02059919604"
"26",6046,"Cargo","SEAGARD","St. Petersburg","FI","59.91272 30.04566 59.90843 30.06649 1259.64701967614"
"27",6065,"Cargo","EIRA","St. Petersburg","FI","59.91333 30.043 59.9085 30.066 1394.82857743593"
"28",6220,"Cargo","PRIMA FORTUNA","Klaipeda","FI","55.71674 21.11054 55.72672 21.08698 1851.09920290035"
"29",6223,"Cargo","MERI","Gdańsk","FI","54.4373 18.65869 54.45842 18.69403 3283.66730352581"
"30",6223,"Cargo","MERI","Gdynia","FI","54.4373 18.65869 54.45842 18.69403 3283.66730352581"
"31",6333,"Tanker","BALTICO","Gdańsk","SE","54.45685 18.99749 54.78958 18.99259 37039.7159345726"
"32",6333,"Tanker","BALTICO","Gdynia","SE","54.45685 18.99749 54.78958 18.99259 37039.7159345726"
"33",6338,"Tanker","BONITO","Kalingrad","SE","54.63328 19.92887 54.66795 19.81384 8368.17436659648"
"34",6349,"Tanker","SUULA","Gdańsk","FI","54.42691 18.92613 54.42949 18.95248 1734.08656736936"
"35",6349,"Tanker","SUULA","Gdynia","FI","54.42691 18.92613 54.42949 18.95248 1734.08656736936"
"36",6500,"Cargo","LINDA","Klaipeda","FI","55.8541 20.839 55.83518 20.86139 2530.7500920432"
"37",23788,"Unspecified","VTS HEL","Gdańsk","PL","54.59999 18.8129 54.60001 18.81289 2.31823354872769"
"38",23846,"Unspecified","VTS 2614900","Gdynia","PL","54.52926 18.55957 54.52926 18.55957 0"
"39",24030,"Unspecified","VTS GAOTEBORG","gothenborg","SE","57.69404 12.05877 57.69397 12.05863 11.4230475374274"
"40",24344,"Unspecified","VTS BALTIYSK","Kalingrad","RU","54.62998 19.88548 54.62998 19.88548 0"
"41",24345,"Unspecified","VTS 2734463","St. Petersburg","RU","59.8646 30.47185 59.8646 30.47185 0"
"42",24366,"Unspecified","VTS 2734488","Kalingrad","RU","54.89622 19.93811 54.89622 19.93811 0"
"43",24369,"Unspecified","VTS 2734492","St. Petersburg","RU","59.93639 30.22619 59.93667 30.22583 37.124268157842"
"44",24468,"Unspecified","VTS KLAIPEDA","Klaipeda","LT","55.69013 21.13727 55.69002 21.13729 12.3114029105215"
"45",24473,"Unspecified","VTS 2770110","Klaipeda","LT","55.72771 21.09569 55.72771 21.09569 0"
"46",37523,"Cargo","HELGE","gothenborg","NL","57.98425 11.75003 57.99721 11.76468 1683.57110713805"
"47",73528,"Tug","SAR 111261105","Gdynia","PL","54.67845 18.74161 54.59363 18.80848 10382.3826279766"
"48",73528,"Tug","SAR 111261105","Gdańsk","PL","54.67845 18.74161 54.59363 18.80848 10382.3826279766"
"49",73551,"Tug","SAR 111265121","gothenborg","SE","57.60648 11.62348 57.67288 11.62489 7395.53230896548"
"50",115307,"Cargo","MELUSINE","gothenborg","BE","57.67873 11.7854 57.68228 11.83933 3241.59115810229"
"51",117309,"Cargo","VICTORINE","gothenborg","BE","57.64971 11.71424 57.65609 11.7494 2216.18722948879"
"52",118748,"Tanker","WAASMUNSTER","gothenborg","BE","57.95479 11.70541 57.96463 11.71845 1340.53130354124"
"53",121733,"Cargo","BF CARTAGENA","St. Petersburg","CY","59.90217 30.09717 59.90683 30.07483 1353.67976534152"
"54",121902,"Cargo","X-PRESS ETNA","St. Petersburg","MT","59.90613 30.07705 59.90249 30.09439 1051.69692187233"
"55",122006,"Cargo","IDUNA","Gdańsk","CY","54.70171 18.99737 54.75998 18.99467 6488.86448231791"
"56",122006,"Cargo","IDUNA","Gdynia","CY","54.70171 18.99737 54.75998 18.99467 6488.86448231791"
"57",122250,"Cargo","WILSON SKY","Gdynia","CY","54.67703 18.9902 55.69126 21.13543 177250.899538313"
"58",122250,"Cargo","WILSON SKY","Gdańsk","CY","54.67703 18.9902 55.69126 21.13543 177250.899538313"
"59",122250,"Cargo","WILSON SKY","Klaipeda","CY","54.67703 18.9902 55.69126 21.13543 177250.899538313"
"60",122557,"Tug","HUGIN EXPLORER","gothenborg","CY","57.94002 11.68876 57.95451 11.70733 1952.91373250336"
"61",122562,"Cargo","THURKUS","Gdańsk","CY","54.54402 18.82845 54.56498 18.859 3057.89325007052"
"62",122562,"Cargo","THURKUS","Gdynia","CY","54.54402 18.82845 54.56498 18.859 3057.89325007052"
"63",122649,"Cargo","SOLONG","St. Petersburg","PT","59.91267 30.04487 59.91005 30.05787 783.725952893579"
"64",123061,"Cargo","VLADIMIR","St. Petersburg","CY","59.90915 30.06179 59.90486 30.08275 1266.49615361579"
"65",123147,"Cargo","ARETHOUSA","Gdańsk","CY","54.52544 18.99381 54.51316 18.98008 1630.66140294457"
"66",123147,"Cargo","ARETHOUSA","Gdynia","CY","54.52544 18.99381 54.51316 18.98008 1630.66140294457"
"67",123222,"Cargo","WMS GRONINGEN","St. Petersburg","CY","59.91378 30.03969 59.91872 30.01553 1459.29805721988"
"68",123296,"Tug","DUKE 2","Kalingrad","CY","55.04501 20.0843 55.0174 20.24331 10622.2234601643"
"69",123303,"Cargo","HEINRICH SCHEPERS","St. Petersburg","CY","59.90049 30.1049 59.90443 30.08541 1175.75579021317"
"70",123774,"Cargo","NORDIC HAMBURG","St. Petersburg","CY","59.9152 30.03243 59.91153 30.05079 1105.55406303623"
"71",124152,"Cargo","VARVARA","St. Petersburg","BS","59.91079 30.05415 59.91301 30.04302 670.025381821842"
"72",124278,"Cargo","ASTRORUNNER","gothenborg","CY","57.60032 11.65497 57.6118 11.62322 2288.4967764795"
